,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
32,Parc William-Hurst,https://montreal.ca/lieux/parc-william-hurst,"Le parc William-Hurst est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-08-30,2024-02-01,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc William-Hurst,"6230, rue de Terrebonne",,H2B 2Y7,Montréal,-73.630914852687,45.469593546612,294563.5,5036637.9
33,Parc William-Bowie,https://montreal.ca/lieux/parc-william-bowie,"Le parc William-Bowie est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-08-30,2024-02-01,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc William-Bowie,"4955, avenue Trenholme",,H4V 1Y2,Montréal,-73.649896126524,45.458080650164,293076.9,5035361.1
34,Parc Wilfrid-Bastien,https://montreal.ca/lieux/parc-wilfrid-bastien,"Il est doté d’une scène culturelle permanente avec toit.Conditions hivernalesAvant de vous déplacer, consultez les conditions des sites hivernaux.",2019-08-30,2023-06-14,Saint-Léonard,Parc et jardins,Parc,,"Appareils d'exercices,Aire de pique-nique,Borne de réparation de vélo,Circuit d'entraînement,Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Stationnement gratuit,Support à vélo,Toilettes","Entrée de plain-pied,Sentier d'accès",Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,numéro: 5148720311,,Parc Wilfrid-Bastien,"8255, boulevard Lacordaire",,H1R2A3,Montréal,-73.593246455733,45.585226249818,297523.8,5049484.2
35,Parc Walter-Stewart,https://montreal.ca/lieux/parc-walter-stewart,"Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air comme le basketball, le baseball ou la balle molle. En hiver on y retrouve une patinoire et une butte pour glisser gratuitement.",2019-08-30,2023-05-15,Ville-Marie,Parc et jardins,Parc,"Patinage,Glissade,Basketball","Aire de pique-nique,Circuit d'entraînement,Fontaine d'eau potable,Module de jeu pour enfants,Roulotte ou chalet chauffé,Support à vélo,Table de ping pong,Terrain de basketball,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Walter-Stewart,"2455, rue Larivière",,H2K1R3,Montréal,-73.556581504189,45.532641532524,300380.7,5043637.7
36,Parc Vinet,https://montreal.ca/lieux/parc-vinet,"Lors de la saison estivale, vous pouvez en profiter pour essayer les jeux d’eau!",2019-08-30,2023-05-31,Le Sud-Ouest,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Vinet,"550, rue Vinet",,H3J2L5,Montréal,-73.575698,45.483963,298882.5,5038229.2
37,Parc Trenholme,https://montreal.ca/lieux/parc-trenholme,Le parc Trenholme est un lieu privilégié pour se détendre.,2019-08-30,2021-06-18,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,"Aire de pique-nique,Douches,Fontaine d'eau potable,Toilettes,Vestiaire",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Trenholme,"6800, rue Sherbrooke Ouest",,H4B 1P4,Montréal,-73.631611,45.46069,294507.4,5035648.6
38,Parc Toussaint-Louverture,https://montreal.ca/lieux/parc-toussaint-louverture,Mini terrain de soccer,2019-08-30,2024-02-01,Ville-Marie,Parc et jardins,Parc,,"Circuit d'entraînement,Roulotte ou chalet chauffé",,Culture et sports,Ouvert, ,,,,,,Parc Toussaint-Louverture,"127, boulevard De Maisonneuve Est",,H2X1J6,Montréal,-73.564659,45.512548,299748.0,5041405.2
39,Parc Tolhurst,https://montreal.ca/lieux/parc-tolhurst,On y trouve un terrain de jeu pour enfants.,2019-08-30,2022-06-28,Ahuntsic-Cartierville,Parc et jardins,Parc,,"Aire de pique-nique,Module de jeu pour enfants,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Tolhurst,"10137, rue Tolhurst",,H3L 3A2,Montréal,-73.66513411962,45.543866250587,291904.8,5044896.8
40,Parc Thomas-Chapais,https://montreal.ca/lieux/parc-thomas-chapais,"Le parc Thomas-Chapais est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-08-30,2024-02-01,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Thomas-Chapais,"5798, boulevard Pierre Bernard",,H1K 2R9,Montréal,,,,
41,Parc Théodore,https://montreal.ca/lieux/parc-theodore,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.Empruntez gratuitement des équipements sportifs et de plein air grâce au service de prêt.,2019-08-30,2023-06-15,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Théodore,"2523, rue Théodore",,H1V3C6,Montréal,-73.54372213586221,45.56101119933126,301386.8,5046789.8
42,Parc Warren-Allmand (Somerled),https://montreal.ca/lieux/parc-warren-allmand-somerled,"Le parc Warren-Allmand est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-08-30,2023-07-21,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,"Pickleball,Tennis","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants,Terrain de pickleball,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Warren-Allmand (Somerled),"4800, avenue de Hampton",,H3X3P7,Montréal,-73.634638433038,45.473919617061,294273.1,5037119.2
43,Parc Solange-Chaput-Rolland,https://montreal.ca/lieux/parc-solange-chaput-rolland,Profitez des attraits de la nature ou pratiquez des loisirs en plein air.,2019-08-30,2021-06-10,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:19:30,Mardi, ouverture:06:00, fermeture:19:30,Mercredi, ouverture:06:00, fermeture:19:30,Jeudi, ouverture:06:00, fermeture:19:30,Vendredi, ouverture:06:00, fermeture:19:30,Samedi, ouverture:06:00, fermeture:19:30,Dimanche, ouverture:06:00, fermeture:19:30]",,,,,,Parc Solange-Chaput-Rolland,"12526, rue Voltaire",,H1C 2C2,Montréal,,,,
44,Parc Soeur-Madeleine-Gagnon,https://montreal.ca/lieux/parc-soeur-madeleine-gagnon,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-08-30,2021-05-28,Rosemont–La Petite-Patrie,Parc et jardins,Parc,Basketball,Module de jeu pour enfants,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Soeur-Madeleine-Gagnon,"6654, rue Saint-Dominique",,H2S 3A7,Montréal,-73.610047,45.531576,296204.6,5043523.6
45,Parc Sir-Wilfrid-Laurier,https://montreal.ca/lieux/parc-sir-wilfrid-laurier,"Patinoires naturellesLes patinoires du parc Laurier sont situées à l’angle de l’avenue Laurier et de la rue De Brébeuf. Plus de détails ici.Terrains de pétanque - Ouverture de la saison en mai 2023Deux terrains de pétanque sont disponibles durant les heures d’ouverture du parc. La priorité revient aux détenteurs et détentrices d’un permis de jeu. Celui-ci est gratuit. Afin d’en obtenir un, veuillez remplir ce formulaire au minimum 5 jours avant la réservation souhaitée. Des questions? reservationterrainsport_plateau@montreal.caÀ noter qu’une réparation en cours force la coupure de l’abreuvoir près du terrain de pétanque. Prévoir une bouteille d’eau réutilisable jusqu’à nouvel ordre.Art publicOn trouve dans le parc une statue de la reine Isabelle la Catholique d’Espagne, qui fut dévoilée le 12 octobre 1959 par le maire de Montréal.Cette statue a été remise à la Ville de Montréal par le consul général d’Espagne, au nom de l’Institut de culture hispanique de Madrid, à l’occasion du 467e anniversaire de la découverte de l’Amérique par Christophe Colomb.Autres installations disponiblesGym extérieur et deux terrains de ping pong.",2019-08-30,2023-10-25,Le Plateau-Mont-Royal,Parc et jardins,Parc,,"Appareils d'exercices,Aire de pique-nique,Fontaine d'eau potable,Support à hamac,Table de ping pong,Toilettes,Vestiaire,Wi-Fi gratuit",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Sir-Wilfrid-Laurier,"1115, avenue Laurier Est",,H2J1G8,Montréal,-73.58781,45.53213,297941.5,5043583.0
46,Parc Simonne-Monet-Chartrand,https://montreal.ca/lieux/parc-simonne-monet-chartrand,"Le parc Simonne-Monet-Chartrand est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-08-30,2024-02-01,Ville-Marie,Parc et jardins,Parc,,,,Culture et sports,Ouvert, ,,,,,,Parc Simonne-Monet-Chartrand,"2121, rue Saint-Christophe",,H2L 3X1,Montréal,-73.565609,45.5193,299674.4,5042155.6
47,Parc Simone-Dénéchaud–Gouin,https://montreal.ca/lieux/parc-simone-denechaud-gouin,"Le parc Simone-Dénéchaud–Gouin est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-03,2024-02-01,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Simone-Dénéchaud–Gouin,"7075, rue Simone Dénéchaud",,H1E 1A3,Montréal,,,,
48,Parc Sicard,https://montreal.ca/lieux/parc-sicard,"Le parc Sicard est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-03,2024-02-01,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Sicard,"1638, rue Sicard",,H1V 2X6,Montréal,,,,
49,Parc Sauvé,https://montreal.ca/lieux/parc-sauve,"C’est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.Les terrains du tennis seront ouverts jusqu’au 1er novembre.Règles pour la pataugeoire en période de pandémie :Maximum de 10 personnes à la fois seulement. Les jeux et objets gonflables sont interdits, sauf les gilets de sauvetage et les brassards de nage.",2019-09-03,2024-02-01,Montréal-Nord,Parc et jardins,Parc,,"Fontaine d'eau potable,Toilettes",,Culture et sports,Ouvert," Horaire pataugeoire - Fermeture 21 août [Lundi, ouverture:10:00, fermeture:12:00Lundi, ouverture:13:00, fermeture:17:00,Mardi, ouverture:10:00, fermeture:12:00Mardi, ouverture:13:00, fermeture:17:00,Mercredi, ouverture:10:00, fermeture:12:00Mercredi, ouverture:13:00, fermeture:17:00,Jeudi, ouverture:10:00, fermeture:12:00Jeudi, ouverture:13:00, fermeture:17:00,Vendredi, ouverture:10:00, fermeture:12:00Vendredi, ouverture:13:00, fermeture:17:00,Samedi, ouverture:13:00, fermeture:16:00,Dimanche, ouverture:13:00, fermeture:16:00]",,,,,,Parc Sauvé,"11440, avenue Éthier",,H1H 3M6,Montréal,,,,
50,Parc Sarah-Maxwell,https://montreal.ca/lieux/parc-sarah-maxwell,"Le parc Sarah-Maxwell est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-03,2024-02-01,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Sarah-Maxwell,"1706, rue Dézéry",,H1W 2R7,Montréal,,,,
51,Parc Sammy-Hill,https://montreal.ca/lieux/parc-sammy-hill,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-09-03,2021-10-19,Le Sud-Ouest,Parc et jardins,Parc,,"Bacs bruns publics,Module de jeu pour enfants",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Sammy-Hill,"2692, rue de Ryde",,H3K 1R8,Montréal,-73.565959349714,45.474376244475,299642.9,5037163.2
52,Parc Sainte-Lucie,https://montreal.ca/lieux/parc-sainte-lucie,"Le parc Sainte-Lucie est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-03,2024-02-01,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,,"Aire de pique-nique,Douches,Fontaine d'eau potable,Table à langer,Toilettes,Vestiaire",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Sainte-Lucie,"9093, 16e Avenue",,H1Z 3P8,Montréal,-73.626194,45.57538,294951.1,5048393.5
53,Parc Sainte-Bernadette,https://montreal.ca/lieux/parc-sainte-bernadette,"Le parc Sainte-Bernadette est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-03,2022-11-18,Rosemont–La Petite-Patrie,Parc et jardins,Parc,"Tennis,Basketball,Baseball","Module de jeu pour enfants,Terrain de basketball",,Culture et sports,Ouvert, Horaire du chalet [],,,,,,Parc Sainte-Bernadette,"6825, 16e Avenue",,H1X2T5,Montréal,-73.588146,45.561416,297918.9,5046837.7
